dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	-34	-34	0	1
0	-34	-33	0	1
0	-34	-32	0	1
0	-34	-31	0	1
0	-34	-30	0	1
0	-33	-34	0	1
0	-33	-33	0	4
0	-33	-32	14	3
0	-33	-31	16	4
0	-33	-30	16	2
0	-32	-34	16	1
0	-32	-33	17	3
0	-32	-32	27	2
0	-32	-31	27	2
0	-32	-30	27	2
0	-31	-34	27	1
0	-31	-33	57	4
0	-31	-32	57	3
0	-31	-31	57	2
0	-31	-30	57	3
0	-30	-34	57	1
0	-30	-33	63	3
0	-30	-32	64	4
0	-30	-31	64	2
0	-30	-30	66	2
0	-2	-2	66	1
0	-2	-1	66	1
0	-2	0	66	1
0	-2	1	66	1
0	-2	2	66	1
0	-1	-2	66	1
0	-1	-1	66	6
0	-1	0	66	3
0	-1	1	66	2
0	-1	2	66	2
0	0	-2	66	1
0	0	-1	66	2
0	0	0	66	4
0	0	1	66	2
0	0	2	74	4
0	1	-2	74	1
0	1	-1	79	3
0	1	0	87	3
0	1	1	87	3
0	1	2	87	3
0	2	-2	87	1
0	2	-1	87	4
0	2	0	90	4
0	2	1	90	3
0	2	2	90	6
0	30	30	90	1
0	30	31	90	1
0	30	32	90	1
0	30	33	90	1
0	30	34	90	1
0	31	30	90	1
0	31	31	90	3
0	31	32	90	2
0	31	33	90	2
0	31	34	90	1
0	32	30	90	1
0	32	31	90	2
0	32	32	90	2
0	32	33	90	2
0	32	34	90	2
0	33	30	90	1
0	33	31	90	3
0	33	32	90	2
0	33	33	90	2
0	33	34	90	2
0	34	30	90	1
0	34	31	90	2
0	34	32	90	3
0	34	33	90	1
0	34	34	90	1
1	-34	-34	0	1
1	-34	-33	0	1
1	-34	-32	0	1
1	-34	-31	0	1
1	-34	-30	0	1
1	-33	-34	0	1
1	-33	-33	0	3
1	-33	-32	0	10
1	-33	-31	0	1
1	-33	-30	0	1
1	-32	-34	0	1
1	-32	-33	0	7
1	-32	-32	0	11
1	-32	-31	0	6
1	-32	-30	0	1
1	-31	-34	0	1
1	-31	-33	0	2
1	-31	-32	0	5
1	-31	-31	0	3
1	-31	-30	0	1
1	-30	-34	0	1
1	-30	-33	0	25
1	-30	-32	0	3
1	-30	-31	0	18
1	-30	-30	0	1
1	-2	-2	0	1
1	-2	-1	0	1
1	-2	0	0	1
1	-2	1	0	1
1	-2	2	0	1
1	-1	-2	0	1
1	-1	-1	0	2
1	-1	0	0	1
1	-1	1	0	42
1	-1	2	0	5
1	0	-2	0	1
1	0	-1	0	1
1	0	0	0	4
1	0	1	0	1
1	0	2	0	1
1	1	-2	0	1
1	1	-1	0	14
1	1	0	0	1
1	1	1	0	1
1	1	2	0	1
1	2	-2	0	1
1	2	-1	0	1
1	2	0	0	1
1	2	1	0	1
1	2	2	0	9
1	30	30	0	1
1	30	31	0	1
1	30	32	0	1
1	30	33	0	1
1	30	34	0	1
1	31	30	0	1
1	31	31	0	6
1	31	32	0	3
1	31	33	0	1
1	31	34	0	16
1	32	30	0	1
1	32	31	0	6
1	32	32	0	1
1	32	33	0	4
1	32	34	0	1
1	33	30	0	1
1	33	31	0	6
1	33	32	0	22
1	33	33	0	4
1	33	34	0	3
1	34	30	0	1
1	34	31	0	1
1	34	32	0	1
1	34	33	0	4
1	34	34	0	1
