dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	-2	0	131	3
0	-2	1	131	2
0	-2	2	131	2
0	-2	3	131	2
0	-2	4	131	1
0	-2	5	131	2
0	-2	6	131	2
0	-2	7	131	2
0	-2	8	131	3
0	-2	9	131	3
0	-2	10	131	7
0	-1	-14	131	1
0	-1	-13	131	3
0	-1	-12	131	8
0	-1	-11	131	6
0	-1	-10	132	2
0	-1	-9	132	2
0	-1	-8	133	2
0	-1	-7	133	2
0	-1	-6	133	2
0	-1	-5	153	4
0	-1	-4	153	5
0	-1	-3	153	4
0	-1	-2	153	3
0	-1	-1	153	4
0	-1	0	153	3
0	-1	1	153	4
0	-1	2	153	2
0	-1	3	153	2
0	-1	4	153	2
0	-1	5	153	1
0	-1	6	153	2
0	-1	7	153	3
0	-1	8	153	5
0	-1	9	153	7
0	-1	10	153	6
0	0	-14	153	1
0	0	-13	153	3
0	0	-12	153	6
0	0	-11	154	6
0	0	-10	154	10
0	0	-9	154	6
0	0	-8	154	3
0	0	-7	154	3
0	0	-6	166	2
0	0	-5	166	4
0	0	-4	169	12
0	0	-3	171	4
0	0	-2	171	6
0	0	-1	171	3
0	0	0	171	2
0	0	1	171	2
0	0	2	171	3
0	0	3	171	1
0	0	4	171	2
0	0	5	171	4
0	0	6	171	2
0	0	7	171	2
0	0	8	171	7
0	0	9	171	5
0	0	10	171	6
0	1	-14	171	1
0	1	-13	189	5
0	1	-12	189	2
0	1	-11	189	3
0	1	-10	189	4
0	1	-9	189	2
0	1	-8	189	2
0	1	-7	189	3
0	1	-6	189	3
0	1	-5	193	4
0	1	-4	193	7
0	1	-3	193	6
0	1	-2	193	4
0	1	-1	193	6
0	1	0	193	2
0	1	1	193	3
0	1	2	193	3
0	1	3	193	2
0	1	4	193	2
0	1	5	193	3
0	1	6	193	4
0	1	7	193	6
0	1	8	193	7
0	1	9	209	6
0	1	10	214	12
0	2	-14	214	1
0	2	-13	217	2
0	2	-12	217	2
0	2	-11	221	2
0	2	-10	221	3
0	2	-9	221	5
0	2	-8	221	3
0	2	-7	225	3
0	2	-6	225	4
0	2	-5	225	2
0	2	-4	225	3
0	2	-3	225	4
0	2	-2	233	3
0	2	-1	233	5
0	2	0	233	4
0	2	1	233	2
0	2	2	233	1
0	2	3	233	2
0	2	4	233	2
0	2	5	233	5
0	2	6	233	5
0	2	7	233	5
0	2	8	241	6
0	2	9	241	9
0	2	10	241	8
0	3	-14	241	1
0	3	-13	246	5
0	3	-12	246	2
0	3	-11	246	2
0	3	-10	246	3
0	3	-9	246	4
0	3	-8	246	5
0	3	-7	246	7
0	3	-6	246	5
0	3	-5	246	3
0	3	-4	246	4
0	3	-3	246	10
0	3	-2	247	1
0	3	-1	247	4
0	3	0	247	1
0	3	1	255	2
0	3	2	255	2
0	3	3	255	1
0	3	4	255	2
0	3	5	255	4
0	3	6	263	13
0	3	7	263	7
0	3	8	267	6
0	3	9	285	6
0	3	10	285	6
0	4	-14	285	1
0	4	-13	285	3
0	4	-12	285	3
0	4	-11	285	2
0	4	-10	285	3
0	4	-9	285	3
0	4	-8	285	3
0	4	-7	285	2
0	4	-6	285	3
0	4	-5	285	4
0	4	-4	286	8
0	4	-3	286	2
0	4	-2	288	1
0	4	-1	288	2
0	4	0	288	2
0	4	1	288	2
0	4	2	288	1
0	4	3	288	6
0	4	4	288	10
0	4	5	288	11
0	4	6	288	4
0	4	7	288	4
0	4	8	288	6
0	4	9	288	6
0	4	10	288	7
0	5	-14	288	1
0	5	-13	288	3
0	5	-12	288	3
0	5	-11	288	2
0	5	-10	288	3
0	5	-9	288	3
0	5	-8	288	7
0	5	-7	288	6
0	5	-6	288	3
0	5	-5	288	3
0	5	-4	288	4
0	5	-3	288	2
0	5	-2	288	2
0	5	-1	288	1
0	5	0	313	2
0	5	1	331	2
0	5	2	331	3
0	5	3	331	6
0	5	4	331	4
0	5	5	335	6
0	5	6	335	8
0	5	7	335	3
0	5	8	341	5
0	5	9	351	9
0	5	10	351	5
0	6	-14	351	1
0	6	-13	351	6
0	6	-12	351	4
0	6	-11	351	4
0	6	-10	351	3
0	6	-9	351	2
0	6	-8	351	10
0	6	-7	351	6
0	6	-6	359	5
0	6	-5	359	3
0	6	-4	359	3
0	6	-3	359	2
0	6	-2	359	2
0	6	-1	360	2
0	6	0	360	3
0	6	1	360	1
0	6	2	361	4
0	6	3	361	8
0	6	4	361	7
0	6	5	361	5
0	6	6	361	7
0	6	7	361	5
0	6	8	361	5
0	6	9	361	11
0	6	10	361	9
0	7	-14	361	1
0	7	-13	361	3
0	7	-12	361	2
0	7	-11	361	3
0	7	-10	361	2
0	7	-9	361	7
0	7	-8	361	8
0	7	-7	361	5
0	7	-6	361	3
0	7	-5	379	3
0	7	-4	379	5
0	7	-3	379	1
0	7	-2	379	2
0	7	-1	379	2
0	7	0	379	2
0	7	1	379	2
0	7	2	379	5
0	7	3	379	4
0	7	4	379	8
0	7	5	379	9
0	7	6	379	4
0	7	7	379	6
0	7	8	379	6
0	7	9	379	11
0	7	10	379	9
0	8	-14	379	1
0	8	-13	379	9
0	8	-12	379	3
0	8	-11	379	3
0	8	-10	379	4
0	8	-9	379	6
0	8	-8	379	3
0	8	-7	379	4
0	8	-6	379	2
0	8	-5	379	2
0	8	-4	379	2
0	8	-3	380	3
0	8	-2	380	2
0	8	-1	380	2
0	8	0	380	2
0	8	1	380	2
0	8	2	380	2
0	8	3	380	2
0	8	4	380	2
0	8	5	380	3
0	8	6	380	4
0	8	7	380	6
0	8	8	380	5
0	8	9	380	7
0	8	10	380	8
0	9	-14	380	1
0	9	-13	380	5
0	9	-12	380	4
0	9	-11	380	6
0	9	-10	380	6
0	9	-9	380	5
0	9	-8	380	5
0	9	-7	380	3
0	9	-6	380	2
0	9	-5	380	2
0	9	-4	382	2
0	9	-3	382	2
0	9	-2	382	1
0	9	-1	382	2
0	9	0	382	2
0	9	1	396	2
0	9	2	396	2
0	9	3	396	2
0	9	4	397	2
0	9	5	397	2
0	9	6	397	3
0	9	7	397	3
