construct-2-6	OK:69:f9020438e0417cc01ea5814eb6f761182844e8f20532f5f493b44c5248692506:size=41
packet-2-6-false	ERROR:java.io.IOException:Received string length longer than maximum allowed (33 > 32)
packet-2-6-true	ERROR:java.io.IOException:Received string length longer than maximum allowed (33 > 32)
construct-2-7	OK:203:ac0031d84ad7020a236f0dffc66038d10249fcc36fbe804ff807f675634056eb:size=108
packet-2-7-false	ERROR:java.io.IOException:Received string length longer than maximum allowed (100 > 32)
packet-2-7-true	ERROR:java.io.IOException:Received string length longer than maximum allowed (100 > 32)
construct-2-8	OK:205:8e06d007b6e18068e985cd899d13c7fd5582c5fc52af1e8ea7c4a0cb8841d4ab:size=109
packet-2-8-false	ERROR:java.io.IOException:Received string length longer than maximum allowed (101 > 32)
packet-2-8-true	ERROR:java.io.IOException:Received string length longer than maximum allowed (101 > 32)
construct-2-9	OK:241:f97c2f36565e466b5057cb37b5f96a89b8de08305baf0d54be5fed2b55c93925:size=127
packet-2-9-false	ERROR:java.io.IOException:Received string length longer than maximum allowed (119 > 32)
packet-2-9-true	ERROR:java.io.IOException:Received string length longer than maximum allowed (119 > 32)
construct-2-10	OK:243:5845e0da606c7d063a07934ec46213647e6439a996179fc52fe898c2852a54cf:size=128
packet-2-10-false	ERROR:java.io.IOException:Received string length longer than maximum allowed (120 > 32)
packet-2-10-true	ERROR:java.io.IOException:Received string length longer than maximum allowed (120 > 32)
construct-2-11	OK:65537:d76dd758a98c72bc370d2c42560ee4c7360ab44ae65d4cb4f612c5cb41ef7318:size=32775
packet-2-11-false	ERROR:java.io.IOException:Received string length longer than maximum allowed (32767 > 32)
packet-2-11-true	ERROR:java.io.IOException:Received string length longer than maximum allowed (32767 > 32)
construct-2-12	ERROR:java.io.IOException:String too big
packet-2-12-false	ERROR:java.io.IOException:Received string length is less than zero! Weird string!
packet-2-12-true	ERROR:java.io.IOException:Received string length is less than zero! Weird string!
construct-3-0	OK:3:3e4479e6b5a0a3bed1440325ca4bb09327a1dfb39c28bdd59de53a687ade0105:size=0
packet-3-0-false	OK:id=3:size=0:wire=3:3e4479e6b5a0a3bed1440325ca4bb09327a1dfb39c28bdd59de53a687ade0105:remaining=0
packet-3-0-true	OK:id=3:size=0:wire=3:3e4479e6b5a0a3bed1440325ca4bb09327a1dfb39c28bdd59de53a687ade0105:remaining=0
construct-3-1	OK:17:fb2512e37c42a875029dd749d71224bbf630c5c69578fcb4cf8182cd2455094c:size=7
packet-3-1-false	OK:id=3:size=7:wire=17:fb2512e37c42a875029dd749d71224bbf630c5c69578fcb4cf8182cd2455094c:remaining=0
packet-3-1-true	OK:id=3:size=7:wire=17:fb2512e37c42a875029dd749d71224bbf630c5c69578fcb4cf8182cd2455094c:remaining=0
construct-3-2	OK:15:ef1a32f7c3065920b728900f4334d2dfba17f205a822cbc93fbd3f1690de6a25:size=6
packet-3-2-false	OK:id=3:size=6:wire=15:ef1a32f7c3065920b728900f4334d2dfba17f205a822cbc93fbd3f1690de6a25:remaining=0
